banrate,date
0.1803,2019-09-12
0.0757,2019-09-12
0.3016,2019-09-12
0.0125,2019-09-12
0.0178,2019-09-12
0.0130,2019-09-12
0.0194,2019-09-12
0.0122,2019-09-12
0.0043,2019-09-12
0.0059,2019-09-12
0.0061,2019-09-12
0.1343,2019-09-12
0.1033,2019-09-12
0.0104,2019-09-12
0.1733,2019-09-12
0.0107,2019-09-12
0.0067,2019-09-12
0.0115,2019-09-12
0.0032,2019-09-12
0.3587,2019-09-12
0.0316,2019-09-12
0.0633,2019-09-12
0.2628,2019-09-12
0.0574,2019-09-12
0.0299,2019-09-12
0.2372,2019-09-12
0.0609,2019-09-12
0.0137,2019-09-12
0.0646,2019-09-12
0.1541,2019-09-12
0.0032,2019-09-12
0.0142,2019-09-12
0.0487,2019-09-12
0.0073,2019-09-12
0.0047,2019-09-12
0.0055,2019-09-12
0.0866,2019-09-12
0.0067,2019-09-12
0.1204,2019-09-12
0.0580,2019-09-12
0.003,2019-09-12
0.0086,2019-09-12
0.0302,2019-09-12
0.2533,2019-09-12
0.0067,2019-09-12
0.0333,2019-09-12
0.0789,2019-09-12
0.1124,2019-09-12
0.001,2019-09-12
0.01,2019-09-12
0.0336,2019-09-12
0.0606,2019-09-12
0.0658,2019-09-12
0.0149,2019-09-12
0.1076,2019-09-12
0.0223,2019-09-12
0.1198,2019-09-12
0.0134,2019-09-12
0.0845,2019-09-12
0.0014,2019-09-12
0.0564,2019-09-12
0.0737,2019-09-12
0.0748,2019-09-12
0.004,2019-09-12
0.0223,2019-09-12
0.0099,2019-09-12
0.0756,2019-09-12
0.0829,2019-09-12
0.0909,2019-09-12
0.0015,2019-09-12
0.254,2019-09-12
0.0131,2019-09-12
0.1796,2019-09-12
0.4307,2019-09-12
0.0087,2019-09-12
0.0885,2019-09-12
0.165,2019-09-12
0.0152,2019-09-12
0.0046,2019-09-12
0.025,2019-09-12
0.0848,2019-09-12
0.0165,2019-09-12
0.0033,2019-09-12
0.0018,2019-09-12
0.1887,2019-09-12
0.0086,2019-09-12
0.4777,2019-09-12
0.1162,2019-09-12
0.0074,2019-09-12
0.0111,2019-09-12
0.0665,2019-09-12
0.0109,2019-09-12
0.1181,2019-09-12
0.0836,2019-09-12
0.0581,2019-09-12
0.0049,2019-09-12
0.0085,2019-09-12
0.0149,2019-09-12
0.0203,2019-09-12
0.0052,2019-09-12
0.0057,2019-09-12
0.0055,2019-09-12
0.0022,2019-09-12
0.0322,2019-09-12
0.0022,2019-09-12
0.0065,2019-09-12
0.0205,2019-09-12
0.0152,2019-09-12
0.1531,2019-09-12
0.0137,2019-09-12
0.0141,2019-09-12
0.0014,2019-09-12
0.0596,2019-09-12
0.0046,2019-09-12
0.0896,2019-09-12
0.0974,2019-09-12
0.0205,2019-09-12
0.002,2019-09-12
0.1047,2019-09-12
0.0015,2019-09-12
0.0180,2019-09-12
0.038,2019-09-12
0.0269,2019-09-12
0.0026,2019-09-12
0.0757,2019-09-12
0.034,2019-09-12
0.0145,2019-09-12
0.0292,2019-09-12
0.0016,2019-09-12
0.1612,2019-09-12
0.0198,2019-09-12
0.019,2019-09-12
0.0034,2019-09-12
0.0375,2019-09-12
0.0174,2019-09-12
0.0101,2019-09-12
0.4619,2019-09-12
0.017,2019-09-12
0.2946,2019-09-12
0.0077,2019-09-12
0.3312,2019-09-12
0.0018,2019-09-12
0.012,2019-09-12
0.0444,2019-09-12
0.051,2019-09-12
