banrate,date
0.1156,2019-09-18
0.0738,2019-09-18
0.2426,2019-09-18
0.0123,2019-09-18
0.016,2019-09-18
0.0139,2019-09-18
0.0145,2019-09-18
0.0114,2019-09-18
0.0034,2019-09-18
0.0061,2019-09-18
0.0047,2019-09-18
0.1377,2019-09-18
0.1042,2019-09-18
0.0107,2019-09-18
0.1855,2019-09-18
0.0094,2019-09-18
0.008,2019-09-18
0.0111,2019-09-18
0.0031,2019-09-18
0.3626,2019-09-18
0.0306,2019-09-18
0.1182,2019-09-18
0.2519,2019-09-18
0.0687,2019-09-18
0.0272,2019-09-18
0.2321,2019-09-18
0.0585,2019-09-18
0.0124,2019-09-18
0.0699,2019-09-18
0.1587,2019-09-18
0.0039,2019-09-18
0.0145,2019-09-18
0.0481,2019-09-18
0.0062,2019-09-18
0.0058,2019-09-18
0.0053,2019-09-18
0.0769,2019-09-18
0.0068,2019-09-18
0.1157,2019-09-18
0.0499,2019-09-18
0.0032,2019-09-18
0.008,2019-09-18
0.0289,2019-09-18
0.2599,2019-09-18
0.0070,2019-09-18
0.0373,2019-09-18
0.0761,2019-09-18
0.1175,2019-09-18
0.0014,2019-09-18
0.0093,2019-09-18
0.0321,2019-09-18
0.0568,2019-09-18
0.0625,2019-09-18
0.0151,2019-09-18
0.1023,2019-09-18
0.0249,2019-09-18
0.1327,2019-09-18
0.0130,2019-09-18
0.0787,2019-09-18
0.0014,2019-09-18
0.0592,2019-09-18
0.0677,2019-09-18
0.08,2019-09-18
0.0038,2019-09-18
0.0199,2019-09-18
0.0116,2019-09-18
0.0735,2019-09-18
0.1386,2019-09-18
0.0939,2019-09-18
0.0014,2019-09-18
0.2527,2019-09-18
0.0122,2019-09-18
0.1702,2019-09-18
0.4303,2019-09-18
0.0085,2019-09-18
0.0881,2019-09-18
0.1755,2019-09-18
0.0194,2019-09-18
0.005,2019-09-18
0.0277,2019-09-18
0.0692,2019-09-18
0.0173,2019-09-18
0.0026,2019-09-18
0.0022,2019-09-18
0.2259,2019-09-18
0.0085,2019-09-18
0.4787,2019-09-18
0.1111,2019-09-18
0.0077,2019-09-18
0.021,2019-09-18
0.063,2019-09-18
0.0101,2019-09-18
0.1192,2019-09-18
0.0889,2019-09-18
0.0602,2019-09-18
0.0048,2019-09-18
0.0085,2019-09-18
0.0119,2019-09-18
0.0207,2019-09-18
0.0056,2019-09-18
0.006,2019-09-18
0.006,2019-09-18
0.0019,2019-09-18
0.0268,2019-09-18
0.0022,2019-09-18
0.0059,2019-09-18
0.021,2019-09-18
0.02,2019-09-18
0.1526,2019-09-18
0.0148,2019-09-18
0.012,2019-09-18
0.0012,2019-09-18
0.0646,2019-09-18
0.005,2019-09-18
0.0972,2019-09-18
0.0933,2019-09-18
0.0199,2019-09-18
0.0019,2019-09-18
0.1025,2019-09-18
0.0016,2019-09-18
0.0177,2019-09-18
0.0371,2019-09-18
0.0274,2019-09-18
0.0026,2019-09-18
0.0775,2019-09-18
0.0327,2019-09-18
0.0153,2019-09-18
0.0272,2019-09-18
0.0016,2019-09-18
0.1657,2019-09-18
0.0224,2019-09-18
0.0181,2019-09-18
0.0032,2019-09-18
0.0541,2019-09-18
0.0171,2019-09-18
0.0102,2019-09-18
0.4657,2019-09-18
0.0174,2019-09-18
0.2676,2019-09-18
0.0073,2019-09-18
0.3253,2019-09-18
0.0016,2019-09-18
0.0111,2019-09-18
0.0467,2019-09-18
0.0523,2019-09-18
