banrate,date
0.1149,2019-09-19
0.0728,2019-09-19
0.2397,2019-09-19
0.0122,2019-09-19
0.016,2019-09-19
0.0135,2019-09-19
0.0148,2019-09-19
0.0116,2019-09-19
0.0037,2019-09-19
0.006,2019-09-19
0.0052,2019-09-19
0.1368,2019-09-19
0.1030,2019-09-19
0.0102,2019-09-19
0.1837,2019-09-19
0.0094,2019-09-19
0.008,2019-09-19
0.0113,2019-09-19
0.003,2019-09-19
0.3612,2019-09-19
0.0295,2019-09-19
0.1194,2019-09-19
0.2493,2019-09-19
0.0699,2019-09-19
0.0272,2019-09-19
0.2289,2019-09-19
0.0592,2019-09-19
0.0134,2019-09-19
0.0703,2019-09-19
0.1592,2019-09-19
0.0042,2019-09-19
0.0140,2019-09-19
0.0484,2019-09-19
0.0066,2019-09-19
0.0056,2019-09-19
0.0052,2019-09-19
0.077,2019-09-19
0.0070,2019-09-19
0.1156,2019-09-19
0.05,2019-09-19
0.0032,2019-09-19
0.0081,2019-09-19
0.0294,2019-09-19
0.2597,2019-09-19
0.0069,2019-09-19
0.0364,2019-09-19
0.0755,2019-09-19
0.1181,2019-09-19
0.0014,2019-09-19
0.0094,2019-09-19
0.0312,2019-09-19
0.0582,2019-09-19
0.0623,2019-09-19
0.0155,2019-09-19
0.1015,2019-09-19
0.0243,2019-09-19
0.134,2019-09-19
0.0130,2019-09-19
0.0778,2019-09-19
0.0013,2019-09-19
0.0577,2019-09-19
0.0687,2019-09-19
0.0796,2019-09-19
0.0039,2019-09-19
0.02,2019-09-19
0.0114,2019-09-19
0.073,2019-09-19
0.1430,2019-09-19
0.0911,2019-09-19
0.0015,2019-09-19
0.2555,2019-09-19
0.0122,2019-09-19
0.1719,2019-09-19
0.4299,2019-09-19
0.0083,2019-09-19
0.0899,2019-09-19
0.1797,2019-09-19
0.0193,2019-09-19
0.0052,2019-09-19
0.0274,2019-09-19
0.0677,2019-09-19
0.0176,2019-09-19
0.0031,2019-09-19
0.0024,2019-09-19
0.226,2019-09-19
0.0083,2019-09-19
0.4776,2019-09-19
0.1104,2019-09-19
0.008,2019-09-19
0.0205,2019-09-19
0.0636,2019-09-19
0.0099,2019-09-19
0.1181,2019-09-19
0.0884,2019-09-19
0.0598,2019-09-19
0.0046,2019-09-19
0.0081,2019-09-19
0.0118,2019-09-19
0.0211,2019-09-19
0.0055,2019-09-19
0.0059,2019-09-19
0.0061,2019-09-19
0.0018,2019-09-19
0.0273,2019-09-19
0.002,2019-09-19
0.0056,2019-09-19
0.0209,2019-09-19
0.02,2019-09-19
0.1513,2019-09-19
0.0144,2019-09-19
0.0121,2019-09-19
0.0012,2019-09-19
0.0668,2019-09-19
0.0049,2019-09-19
0.0961,2019-09-19
0.0948,2019-09-19
0.0193,2019-09-19
0.002,2019-09-19
0.1028,2019-09-19
0.0016,2019-09-19
0.0180,2019-09-19
0.0365,2019-09-19
0.0267,2019-09-19
0.0026,2019-09-19
0.0772,2019-09-19
0.0331,2019-09-19
0.0151,2019-09-19
0.0273,2019-09-19
0.0016,2019-09-19
0.1665,2019-09-19
0.0219,2019-09-19
0.0184,2019-09-19
0.0032,2019-09-19
0.0529,2019-09-19
0.0179,2019-09-19
0.0110,2019-09-19
0.4671,2019-09-19
0.0172,2019-09-19
0.2641,2019-09-19
0.0072,2019-09-19
0.3296,2019-09-19
0.0017,2019-09-19
0.0114,2019-09-19
0.0474,2019-09-19
0.0525,2019-09-19
