banrate,date
0.1052,2019-09-21
0.0720,2019-09-21
0.2171,2019-09-21
0.0133,2019-09-21
0.0156,2019-09-21
0.0128,2019-09-21
0.0153,2019-09-21
0.0127,2019-09-21
0.0038,2019-09-21
0.0055,2019-09-21
0.0054,2019-09-21
0.1387,2019-09-21
0.0998,2019-09-21
0.0101,2019-09-21
0.1909,2019-09-21
0.0107,2019-09-21
0.008,2019-09-21
0.0106,2019-09-21
0.0026,2019-09-21
0.3638,2019-09-21
0.0335,2019-09-21
0.1341,2019-09-21
0.2458,2019-09-21
0.0745,2019-09-21
0.0279,2019-09-21
0.2214,2019-09-21
0.0577,2019-09-21
0.0140,2019-09-21
0.0747,2019-09-21
0.1612,2019-09-21
0.0045,2019-09-21
0.015,2019-09-21
0.0492,2019-09-21
0.0063,2019-09-21
0.0058,2019-09-21
0.0052,2019-09-21
0.073,2019-09-21
0.0074,2019-09-21
0.1152,2019-09-21
0.048,2019-09-21
0.0029,2019-09-21
0.0086,2019-09-21
0.0287,2019-09-21
0.2605,2019-09-21
0.0064,2019-09-21
0.0356,2019-09-21
0.0767,2019-09-21
0.1132,2019-09-21
0.0014,2019-09-21
0.0090,2019-09-21
0.033,2019-09-21
0.0601,2019-09-21
0.0608,2019-09-21
0.0171,2019-09-21
0.0982,2019-09-21
0.0231,2019-09-21
0.1464,2019-09-21
0.0107,2019-09-21
0.0812,2019-09-21
0.0014,2019-09-21
0.0575,2019-09-21
0.0651,2019-09-21
0.0822,2019-09-21
0.0042,2019-09-21
0.0207,2019-09-21
0.0098,2019-09-21
0.0717,2019-09-21
0.1552,2019-09-21
0.0973,2019-09-21
0.0014,2019-09-21
0.2557,2019-09-21
0.0127,2019-09-21
0.1647,2019-09-21
0.4357,2019-09-21
0.0089,2019-09-21
0.0931,2019-09-21
0.1831,2019-09-21
0.0175,2019-09-21
0.0047,2019-09-21
0.0277,2019-09-21
0.0608,2019-09-21
0.019,2019-09-21
0.0047,2019-09-21
0.0022,2019-09-21
0.2267,2019-09-21
0.0086,2019-09-21
0.4734,2019-09-21
0.1077,2019-09-21
0.0081,2019-09-21
0.0192,2019-09-21
0.0668,2019-09-21
0.0103,2019-09-21
0.1223,2019-09-21
0.0858,2019-09-21
0.0627,2019-09-21
0.005,2019-09-21
0.0076,2019-09-21
0.0105,2019-09-21
0.0208,2019-09-21
0.0053,2019-09-21
0.0058,2019-09-21
0.0051,2019-09-21
0.002,2019-09-21
0.0281,2019-09-21
0.0019,2019-09-21
0.0056,2019-09-21
0.019,2019-09-21
0.0234,2019-09-21
0.146,2019-09-21
0.0131,2019-09-21
0.0125,2019-09-21
0.0015,2019-09-21
0.0716,2019-09-21
0.0045,2019-09-21
0.0964,2019-09-21
0.0956,2019-09-21
0.0201,2019-09-21
0.0021,2019-09-21
0.1064,2019-09-21
0.0016,2019-09-21
0.0163,2019-09-21
0.0374,2019-09-21
0.0267,2019-09-21
0.002,2019-09-21
0.0732,2019-09-21
0.0343,2019-09-21
0.0138,2019-09-21
0.0288,2019-09-21
0.002,2019-09-21
0.1713,2019-09-21
0.0227,2019-09-21
0.0188,2019-09-21
0.0031,2019-09-21
0.0501,2019-09-21
0.0198,2019-09-21
0.0109,2019-09-21
0.462,2019-09-21
0.0174,2019-09-21
0.252,2019-09-21
0.0075,2019-09-21
0.3256,2019-09-21
0.0018,2019-09-21
0.0119,2019-09-21
0.0462,2019-09-21
0.0505,2019-09-21
