banrate,date
0.1361,2019-09-16
0.0699,2019-09-16
0.2565,2019-09-16
0.0123,2019-09-16
0.0172,2019-09-16
0.0130,2019-09-16
0.0149,2019-09-16
0.0117,2019-09-16
0.0031,2019-09-16
0.0053,2019-09-16
0.0064,2019-09-16
0.1396,2019-09-16
0.1013,2019-09-16
0.0110,2019-09-16
0.1712,2019-09-16
0.0110,2019-09-16
0.0073,2019-09-16
0.0105,2019-09-16
0.0031,2019-09-16
0.3573,2019-09-16
0.0331,2019-09-16
0.0945,2019-09-16
0.2536,2019-09-16
0.064,2019-09-16
0.0285,2019-09-16
0.2258,2019-09-16
0.0613,2019-09-16
0.0130,2019-09-16
0.0686,2019-09-16
0.1583,2019-09-16
0.0045,2019-09-16
0.0142,2019-09-16
0.0509,2019-09-16
0.0072,2019-09-16
0.0052,2019-09-16
0.0056,2019-09-16
0.0791,2019-09-16
0.0071,2019-09-16
0.1198,2019-09-16
0.0521,2019-09-16
0.0034,2019-09-16
0.0084,2019-09-16
0.0302,2019-09-16
0.2589,2019-09-16
0.0062,2019-09-16
0.0342,2019-09-16
0.076,2019-09-16
0.1171,2019-09-16
0.0013,2019-09-16
0.0105,2019-09-16
0.0318,2019-09-16
0.0571,2019-09-16
0.0628,2019-09-16
0.0155,2019-09-16
0.1044,2019-09-16
0.0238,2019-09-16
0.1216,2019-09-16
0.0128,2019-09-16
0.0838,2019-09-16
0.0014,2019-09-16
0.0565,2019-09-16
0.0693,2019-09-16
0.0745,2019-09-16
0.0044,2019-09-16
0.0241,2019-09-16
0.0094,2019-09-16
0.0772,2019-09-16
0.1229,2019-09-16
0.0909,2019-09-16
0.0015,2019-09-16
0.2574,2019-09-16
0.0132,2019-09-16
0.1753,2019-09-16
0.4324,2019-09-16
0.0097,2019-09-16
0.0903,2019-09-16
0.1737,2019-09-16
0.0185,2019-09-16
0.0044,2019-09-16
0.0285,2019-09-16
0.0677,2019-09-16
0.0181,2019-09-16
0.0034,2019-09-16
0.0023,2019-09-16
0.2065,2019-09-16
0.0098,2019-09-16
0.4811,2019-09-16
0.1116,2019-09-16
0.0071,2019-09-16
0.018000000000000002,2019-09-16
0.0665,2019-09-16
0.0093,2019-09-16
0.1201,2019-09-16
0.0841,2019-09-16
0.0634,2019-09-16
0.0053,2019-09-16
0.0079,2019-09-16
0.0145,2019-09-16
0.0226,2019-09-16
0.0049,2019-09-16
0.0070,2019-09-16
0.0052,2019-09-16
0.0021,2019-09-16
0.0276,2019-09-16
0.0022,2019-09-16
0.006,2019-09-16
0.0188,2019-09-16
0.0195,2019-09-16
0.1519,2019-09-16
0.0127,2019-09-16
0.0131,2019-09-16
0.0016,2019-09-16
0.0637,2019-09-16
0.0044,2019-09-16
0.0933,2019-09-16
0.0952,2019-09-16
0.0215,2019-09-16
0.0026,2019-09-16
0.1041,2019-09-16
0.0016,2019-09-16
0.0173,2019-09-16
0.0362,2019-09-16
0.0266,2019-09-16
0.0026,2019-09-16
0.0817,2019-09-16
0.0337,2019-09-16
0.0149,2019-09-16
0.0306,2019-09-16
0.0015,2019-09-16
0.1641,2019-09-16
0.0216,2019-09-16
0.0193,2019-09-16
0.0038,2019-09-16
0.0516,2019-09-16
0.0186,2019-09-16
0.0106,2019-09-16
0.469,2019-09-16
0.0171,2019-09-16
0.2704,2019-09-16
0.0075,2019-09-16
0.3341,2019-09-16
0.0014,2019-09-16
0.0115,2019-09-16
0.0482,2019-09-16
0.0532,2019-09-16
