banrate,date
0.1323,2019-09-17
0.0697,2019-09-17
0.2524,2019-09-17
0.0127,2019-09-17
0.017,2019-09-17
0.0127,2019-09-17
0.0149,2019-09-17
0.0122,2019-09-17
0.0032,2019-09-17
0.0055,2019-09-17
0.0059,2019-09-17
0.1377,2019-09-17
0.1015,2019-09-17
0.0104,2019-09-17
0.1719,2019-09-17
0.0101,2019-09-17
0.0076,2019-09-17
0.0107,2019-09-17
0.0031,2019-09-17
0.3605,2019-09-17
0.032,2019-09-17
0.0994,2019-09-17
0.2529,2019-09-17
0.063,2019-09-17
0.0285,2019-09-17
0.226,2019-09-17
0.0613,2019-09-17
0.0127,2019-09-17
0.0698,2019-09-17
0.1585,2019-09-17
0.0042,2019-09-17
0.0140,2019-09-17
0.0501,2019-09-17
0.0071,2019-09-17
0.005,2019-09-17
0.0055,2019-09-17
0.0808,2019-09-17
0.0065,2019-09-17
0.1189,2019-09-17
0.0516,2019-09-17
0.0033,2019-09-17
0.0087,2019-09-17
0.0296,2019-09-17
0.261,2019-09-17
0.0063,2019-09-17
0.0341,2019-09-17
0.0747,2019-09-17
0.1155,2019-09-17
0.0014,2019-09-17
0.0104,2019-09-17
0.0322,2019-09-17
0.0582,2019-09-17
0.0621,2019-09-17
0.0156,2019-09-17
0.1055,2019-09-17
0.0235,2019-09-17
0.1249,2019-09-17
0.0119,2019-09-17
0.0828,2019-09-17
0.0015,2019-09-17
0.0567,2019-09-17
0.0696,2019-09-17
0.0745,2019-09-17
0.0044,2019-09-17
0.0234,2019-09-17
0.0094,2019-09-17
0.0757,2019-09-17
0.1276,2019-09-17
0.0925,2019-09-17
0.0015,2019-09-17
0.2592,2019-09-17
0.0124,2019-09-17
0.1748,2019-09-17
0.4333,2019-09-17
0.0094,2019-09-17
0.0911,2019-09-17
0.174,2019-09-17
0.0182,2019-09-17
0.0045,2019-09-17
0.0277,2019-09-17
0.0677,2019-09-17
0.0179,2019-09-17
0.0035,2019-09-17
0.0022,2019-09-17
0.2086,2019-09-17
0.0088,2019-09-17
0.4832,2019-09-17
0.1111,2019-09-17
0.0072,2019-09-17
0.0182,2019-09-17
0.0666,2019-09-17
0.0098,2019-09-17
0.1196,2019-09-17
0.0842,2019-09-17
0.0638,2019-09-17
0.0049,2019-09-17
0.0083,2019-09-17
0.0136,2019-09-17
0.0225,2019-09-17
0.0052,2019-09-17
0.0066,2019-09-17
0.0054,2019-09-17
0.002,2019-09-17
0.0284,2019-09-17
0.0021,2019-09-17
0.006,2019-09-17
0.0193,2019-09-17
0.0195,2019-09-17
0.1519,2019-09-17
0.0128,2019-09-17
0.0130,2019-09-17
0.0015,2019-09-17
0.064,2019-09-17
0.0043,2019-09-17
0.0937,2019-09-17
0.0945,2019-09-17
0.0209,2019-09-17
0.0024,2019-09-17
0.1029,2019-09-17
0.0016,2019-09-17
0.0177,2019-09-17
0.0365,2019-09-17
0.0265,2019-09-17
0.0025,2019-09-17
0.0804,2019-09-17
0.0336,2019-09-17
0.0145,2019-09-17
0.0309,2019-09-17
0.0016,2019-09-17
0.1647,2019-09-17
0.0219,2019-09-17
0.0195,2019-09-17
0.0034,2019-09-17
0.0519,2019-09-17
0.0185,2019-09-17
0.0108,2019-09-17
0.4684,2019-09-17
0.0167,2019-09-17
0.2701,2019-09-17
0.0073,2019-09-17
0.3338,2019-09-17
0.0016,2019-09-17
0.0116,2019-09-17
0.0478,2019-09-17
0.0519,2019-09-17
