banrate,date
0.0957,2019-09-24
0.0728,2019-09-24
0.2057,2019-09-24
0.0125,2019-09-24
0.0148,2019-09-24
0.0125,2019-09-24
0.0142,2019-09-24
0.0124,2019-09-24
0.0037,2019-09-24
0.005,2019-09-24
0.0049,2019-09-24
0.1339,2019-09-24
0.0977,2019-09-24
0.0094,2019-09-24
0.2032,2019-09-24
0.0101,2019-09-24
0.0076,2019-09-24
0.0112,2019-09-24
0.0025,2019-09-24
0.3654,2019-09-24
0.0333,2019-09-24
0.1509,2019-09-24
0.2372,2019-09-24
0.0792,2019-09-24
0.0277,2019-09-24
0.2197,2019-09-24
0.0588,2019-09-24
0.0130,2019-09-24
0.0784,2019-09-24
0.1544,2019-09-24
0.0042,2019-09-24
0.0153,2019-09-24
0.048,2019-09-24
0.0073,2019-09-24
0.0053,2019-09-24
0.005,2019-09-24
0.0715,2019-09-24
0.0077,2019-09-24
0.1122,2019-09-24
0.0474,2019-09-24
0.0031,2019-09-24
0.0076,2019-09-24
0.0285,2019-09-24
0.2643,2019-09-24
0.0057,2019-09-24
0.035,2019-09-24
0.073,2019-09-24
0.1139,2019-09-24
0.0013,2019-09-24
0.0096,2019-09-24
0.0305,2019-09-24
0.0602,2019-09-24
0.0599,2019-09-24
0.0185,2019-09-24
0.1032,2019-09-24
0.0234,2019-09-24
0.1625,2019-09-24
0.0113,2019-09-24
0.0785,2019-09-24
0.0014,2019-09-24
0.0559,2019-09-24
0.0621,2019-09-24
0.0839,2019-09-24
0.0039,2019-09-24
0.019,2019-09-24
0.0099,2019-09-24
0.0696,2019-09-24
0.191,2019-09-24
0.0892,2019-09-24
0.0014,2019-09-24
0.2659,2019-09-24
0.0124,2019-09-24
0.1668,2019-09-24
0.4408,2019-09-24
0.0086,2019-09-24
0.0891,2019-09-24
0.1817,2019-09-24
0.0171,2019-09-24
0.0041,2019-09-24
0.0292,2019-09-24
0.0583,2019-09-24
0.0196,2019-09-24
0.0042,2019-09-24
0.0023,2019-09-24
0.2336,2019-09-24
0.0076,2019-09-24
0.4687,2019-09-24
0.1068,2019-09-24
0.0076,2019-09-24
0.0180,2019-09-24
0.0626,2019-09-24
0.0103,2019-09-24
0.1136,2019-09-24
0.0890,2019-09-24
0.0585,2019-09-24
0.0047,2019-09-24
0.0076,2019-09-24
0.0101,2019-09-24
0.0209,2019-09-24
0.0052,2019-09-24
0.0065,2019-09-24
0.0051,2019-09-24
0.0019,2019-09-24
0.0232,2019-09-24
0.0018,2019-09-24
0.0056,2019-09-24
0.0204,2019-09-24
0.0242,2019-09-24
0.15,2019-09-24
0.0134,2019-09-24
0.0116,2019-09-24
0.0012,2019-09-24
0.0682,2019-09-24
0.0046,2019-09-24
0.1009,2019-09-24
0.0911,2019-09-24
0.0179,2019-09-24
0.0022,2019-09-24
0.1059,2019-09-24
0.0018,2019-09-24
0.0164,2019-09-24
0.0351,2019-09-24
0.0262,2019-09-24
0.0018,2019-09-24
0.0709,2019-09-24
0.0328,2019-09-24
0.0146,2019-09-24
0.0264,2019-09-24
0.0017,2019-09-24
0.174,2019-09-24
0.0203,2019-09-24
0.0164,2019-09-24
0.0032,2019-09-24
0.0483,2019-09-24
0.0191,2019-09-24
0.0103,2019-09-24
0.4666,2019-09-24
0.0181,2019-09-24
0.249,2019-09-24
0.0071,2019-09-24
0.3284,2019-09-24
0.0016,2019-09-24
0.0119,2019-09-24
0.0484,2019-09-24
0.0508,2019-09-24
