banrate,date
0.1003,2019-09-22
0.0716,2019-09-22
0.2113,2019-09-22
0.0128,2019-09-22
0.0162,2019-09-22
0.0131,2019-09-22
0.0148,2019-09-22
0.0119,2019-09-22
0.0038,2019-09-22
0.0053,2019-09-22
0.0054,2019-09-22
0.1444,2019-09-22
0.1006,2019-09-22
0.0102,2019-09-22
0.1976,2019-09-22
0.0108,2019-09-22
0.0084,2019-09-22
0.0105,2019-09-22
0.0027,2019-09-22
0.3667,2019-09-22
0.0335,2019-09-22
0.1417,2019-09-22
0.2474,2019-09-22
0.0775,2019-09-22
0.0271,2019-09-22
0.2208,2019-09-22
0.0571,2019-09-22
0.0147,2019-09-22
0.0787,2019-09-22
0.1618,2019-09-22
0.0045,2019-09-22
0.0153,2019-09-22
0.0477,2019-09-22
0.0067,2019-09-22
0.0059,2019-09-22
0.0054,2019-09-22
0.0693,2019-09-22
0.0072,2019-09-22
0.1163,2019-09-22
0.0497,2019-09-22
0.0029,2019-09-22
0.0084,2019-09-22
0.0283,2019-09-22
0.2568,2019-09-22
0.006,2019-09-22
0.0356,2019-09-22
0.0778,2019-09-22
0.1122,2019-09-22
0.0012,2019-09-22
0.0088,2019-09-22
0.0309,2019-09-22
0.0590,2019-09-22
0.063,2019-09-22
0.0179,2019-09-22
0.0991,2019-09-22
0.0247,2019-09-22
0.1533,2019-09-22
0.0112,2019-09-22
0.0756,2019-09-22
0.0016,2019-09-22
0.0577,2019-09-22
0.0655,2019-09-22
0.0853,2019-09-22
0.004,2019-09-22
0.0222,2019-09-22
0.0106,2019-09-22
0.0688,2019-09-22
0.165,2019-09-22
0.0968,2019-09-22
0.001,2019-09-22
0.2607,2019-09-22
0.0123,2019-09-22
0.163,2019-09-22
0.4244,2019-09-22
0.0088,2019-09-22
0.0945,2019-09-22
0.1808,2019-09-22
0.0179,2019-09-22
0.0042,2019-09-22
0.0280,2019-09-22
0.0580,2019-09-22
0.0186,2019-09-22
0.0039,2019-09-22
0.0019,2019-09-22
0.2281,2019-09-22
0.0088,2019-09-22
0.4679,2019-09-22
0.1076,2019-09-22
0.0085,2019-09-22
0.0185,2019-09-22
0.065,2019-09-22
0.0104,2019-09-22
0.1183,2019-09-22
0.0867,2019-09-22
0.0613,2019-09-22
0.0048,2019-09-22
0.008,2019-09-22
0.0103,2019-09-22
0.0206,2019-09-22
0.0049,2019-09-22
0.0065,2019-09-22
0.0051,2019-09-22
0.0018,2019-09-22
0.0259,2019-09-22
0.0019,2019-09-22
0.0062,2019-09-22
0.0191,2019-09-22
0.0231,2019-09-22
0.1471,2019-09-22
0.0133,2019-09-22
0.0122,2019-09-22
0.001,2019-09-22
0.0698,2019-09-22
0.0048,2019-09-22
0.0965,2019-09-22
0.0968,2019-09-22
0.0188,2019-09-22
0.0021,2019-09-22
0.1075,2019-09-22
0.0017,2019-09-22
0.0180,2019-09-22
0.0351,2019-09-22
0.0274,2019-09-22
0.0025,2019-09-22
0.077,2019-09-22
0.0339,2019-09-22
0.0147,2019-09-22
0.0277,2019-09-22
0.0017,2019-09-22
0.1696,2019-09-22
0.0214,2019-09-22
0.0176,2019-09-22
0.0027,2019-09-22
0.0496,2019-09-22
0.0197,2019-09-22
0.0114,2019-09-22
0.4644,2019-09-22
0.0186,2019-09-22
0.245,2019-09-22
0.0079,2019-09-22
0.3278,2019-09-22
0.0015,2019-09-22
0.012,2019-09-22
0.0465,2019-09-22
0.0495,2019-09-22
