banrate,date
0.1004,2019-09-23
0.0702,2019-09-23
0.2071,2019-09-23
0.0131,2019-09-23
0.016,2019-09-23
0.0117,2019-09-23
0.0144,2019-09-23
0.0117,2019-09-23
0.0034,2019-09-23
0.0055,2019-09-23
0.0058,2019-09-23
0.14,2019-09-23
0.1017,2019-09-23
0.0098,2019-09-23
0.2029,2019-09-23
0.0098,2019-09-23
0.0077,2019-09-23
0.0107,2019-09-23
0.0025,2019-09-23
0.3671,2019-09-23
0.0336,2019-09-23
0.1447,2019-09-23
0.2398,2019-09-23
0.0779,2019-09-23
0.0255,2019-09-23
0.2197,2019-09-23
0.0592,2019-09-23
0.0147,2019-09-23
0.0799,2019-09-23
0.1573,2019-09-23
0.0046,2019-09-23
0.0146,2019-09-23
0.0474,2019-09-23
0.0066,2019-09-23
0.0059,2019-09-23
0.0049,2019-09-23
0.0718,2019-09-23
0.008,2019-09-23
0.1153,2019-09-23
0.0494,2019-09-23
0.0029,2019-09-23
0.0081,2019-09-23
0.0291,2019-09-23
0.2619,2019-09-23
0.0053,2019-09-23
0.0362,2019-09-23
0.0747,2019-09-23
0.1137,2019-09-23
0.0011,2019-09-23
0.0088,2019-09-23
0.0293,2019-09-23
0.0604,2019-09-23
0.0615,2019-09-23
0.0181,2019-09-23
0.1044,2019-09-23
0.0246,2019-09-23
0.1546,2019-09-23
0.0111,2019-09-23
0.0741,2019-09-23
0.0013,2019-09-23
0.0577,2019-09-23
0.0661,2019-09-23
0.0849,2019-09-23
0.0038,2019-09-23
0.0206,2019-09-23
0.0121,2019-09-23
0.0724,2019-09-23
0.1747,2019-09-23
0.0955,2019-09-23
0.0013,2019-09-23
0.2659,2019-09-23
0.0117,2019-09-23
0.1657,2019-09-23
0.4259,2019-09-23
0.0090,2019-09-23
0.091,2019-09-23
0.1879,2019-09-23
0.0171,2019-09-23
0.0041,2019-09-23
0.0288,2019-09-23
0.0561,2019-09-23
0.0177,2019-09-23
0.0038,2019-09-23
0.0021,2019-09-23
0.2290,2019-09-23
0.0091,2019-09-23
0.4707,2019-09-23
0.107,2019-09-23
0.0086,2019-09-23
0.0182,2019-09-23
0.0615,2019-09-23
0.0091,2019-09-23
0.1143,2019-09-23
0.0876,2019-09-23
0.0612,2019-09-23
0.0047,2019-09-23
0.0076,2019-09-23
0.0094,2019-09-23
0.0232,2019-09-23
0.0053,2019-09-23
0.0065,2019-09-23
0.005,2019-09-23
0.002,2019-09-23
0.0246,2019-09-23
0.0019,2019-09-23
0.006,2019-09-23
0.02,2019-09-23
0.0228,2019-09-23
0.1476,2019-09-23
0.0127,2019-09-23
0.0115,2019-09-23
0.0012,2019-09-23
0.0665,2019-09-23
0.0045,2019-09-23
0.0991,2019-09-23
0.0957,2019-09-23
0.019,2019-09-23
0.0021,2019-09-23
0.1029,2019-09-23
0.0015,2019-09-23
0.016,2019-09-23
0.0337,2019-09-23
0.0270,2019-09-23
0.0021,2019-09-23
0.0723,2019-09-23
0.0326,2019-09-23
0.0134,2019-09-23
0.0262,2019-09-23
0.0016,2019-09-23
0.1658,2019-09-23
0.0207,2019-09-23
0.0177,2019-09-23
0.0021,2019-09-23
0.0502,2019-09-23
0.0196,2019-09-23
0.0114,2019-09-23
0.4710,2019-09-23
0.0183,2019-09-23
0.2443,2019-09-23
0.0073,2019-09-23
0.3304,2019-09-23
0.0013,2019-09-23
0.0128,2019-09-23
0.0486,2019-09-23
0.0507,2019-09-23
