banrate,date
0.1613,2019-09-13
0.0771,2019-09-13
0.2801,2019-09-13
0.0124,2019-09-13
0.0178,2019-09-13
0.0126,2019-09-13
0.0187,2019-09-13
0.0107,2019-09-13
0.0043,2019-09-13
0.0061,2019-09-13
0.0057,2019-09-13
0.1332,2019-09-13
0.1015,2019-09-13
0.0110,2019-09-13
0.1772,2019-09-13
0.0105,2019-09-13
0.0075,2019-09-13
0.0116,2019-09-13
0.0031,2019-09-13
0.3561,2019-09-13
0.0329,2019-09-13
0.0735,2019-09-13
0.2612,2019-09-13
0.0592,2019-09-13
0.0295,2019-09-13
0.2385,2019-09-13
0.0622,2019-09-13
0.0139,2019-09-13
0.066,2019-09-13
0.1587,2019-09-13
0.0038,2019-09-13
0.0145,2019-09-13
0.0478,2019-09-13
0.0069,2019-09-13
0.0049,2019-09-13
0.0064,2019-09-13
0.0863,2019-09-13
0.0067,2019-09-13
0.1212,2019-09-13
0.0546,2019-09-13
0.0029,2019-09-13
0.0073,2019-09-13
0.0287,2019-09-13
0.2571,2019-09-13
0.0072,2019-09-13
0.0346,2019-09-13
0.0811,2019-09-13
0.1160,2019-09-13
0.0013,2019-09-13
0.0102,2019-09-13
0.0329,2019-09-13
0.0622,2019-09-13
0.0664,2019-09-13
0.0146,2019-09-13
0.1065,2019-09-13
0.0235,2019-09-13
0.121,2019-09-13
0.0130,2019-09-13
0.0859,2019-09-13
0.0014,2019-09-13
0.0564,2019-09-13
0.0732,2019-09-13
0.0765,2019-09-13
0.0038,2019-09-13
0.0216,2019-09-13
0.0095,2019-09-13
0.0771,2019-09-13
0.0936,2019-09-13
0.0932,2019-09-13
0.0013,2019-09-13
0.2545,2019-09-13
0.0133,2019-09-13
0.1755,2019-09-13
0.4328,2019-09-13
0.0093,2019-09-13
0.0867,2019-09-13
0.1699,2019-09-13
0.0175,2019-09-13
0.0043,2019-09-13
0.0242,2019-09-13
0.0793,2019-09-13
0.0174,2019-09-13
0.0035,2019-09-13
0.0018,2019-09-13
0.1952,2019-09-13
0.0086,2019-09-13
0.4804,2019-09-13
0.1129,2019-09-13
0.0079,2019-09-13
0.0152,2019-09-13
0.0655,2019-09-13
0.0101,2019-09-13
0.1201,2019-09-13
0.0836,2019-09-13
0.0608,2019-09-13
0.0052,2019-09-13
0.0081,2019-09-13
0.0145,2019-09-13
0.0204,2019-09-13
0.006,2019-09-13
0.0058,2019-09-13
0.006,2019-09-13
0.0022,2019-09-13
0.0298,2019-09-13
0.0017,2019-09-13
0.0071,2019-09-13
0.0201,2019-09-13
0.017,2019-09-13
0.1536,2019-09-13
0.0131,2019-09-13
0.0137,2019-09-13
0.0013,2019-09-13
0.0596,2019-09-13
0.0046,2019-09-13
0.0902,2019-09-13
0.0951,2019-09-13
0.0207,2019-09-13
0.0019,2019-09-13
0.1040,2019-09-13
0.0013,2019-09-13
0.0175,2019-09-13
0.0382,2019-09-13
0.0261,2019-09-13
0.0028,2019-09-13
0.0746,2019-09-13
0.0321,2019-09-13
0.0145,2019-09-13
0.0295,2019-09-13
0.0016,2019-09-13
0.1609,2019-09-13
0.0195,2019-09-13
0.0199,2019-09-13
0.0034,2019-09-13
0.0426,2019-09-13
0.0172,2019-09-13
0.0097,2019-09-13
0.4603,2019-09-13
0.0172,2019-09-13
0.282,2019-09-13
0.008,2019-09-13
0.3334,2019-09-13
0.0015,2019-09-13
0.0117,2019-09-13
0.047,2019-09-13
0.0505,2019-09-13
