banrate,date
0.1432,2019-09-15
0.0728,2019-09-15
0.2552,2019-09-15
0.0125,2019-09-15
0.0167,2019-09-15
0.0132,2019-09-15
0.0161,2019-09-15
0.0123,2019-09-15
0.0035,2019-09-15
0.0066,2019-09-15
0.0064,2019-09-15
0.141,2019-09-15
0.1043,2019-09-15
0.0114,2019-09-15
0.1717,2019-09-15
0.0102,2019-09-15
0.0074,2019-09-15
0.0108,2019-09-15
0.0034,2019-09-15
0.3629,2019-09-15
0.0344,2019-09-15
0.0839,2019-09-15
0.2606,2019-09-15
0.0575,2019-09-15
0.0291,2019-09-15
0.2249,2019-09-15
0.0608,2019-09-15
0.0132,2019-09-15
0.0702,2019-09-15
0.1582,2019-09-15
0.0038,2019-09-15
0.0145,2019-09-15
0.0494,2019-09-15
0.0068,2019-09-15
0.005,2019-09-15
0.006,2019-09-15
0.0818,2019-09-15
0.0067,2019-09-15
0.1216,2019-09-15
0.0499,2019-09-15
0.0031,2019-09-15
0.0087,2019-09-15
0.0291,2019-09-15
0.2564,2019-09-15
0.0061,2019-09-15
0.0335,2019-09-15
0.0831,2019-09-15
0.1112,2019-09-15
0.0014,2019-09-15
0.0111,2019-09-15
0.0324,2019-09-15
0.0587,2019-09-15
0.0646,2019-09-15
0.0149,2019-09-15
0.1030,2019-09-15
0.0223,2019-09-15
0.1171,2019-09-15
0.0123,2019-09-15
0.08120,2019-09-15
0.0018,2019-09-15
0.0584,2019-09-15
0.0726,2019-09-15
0.0804,2019-09-15
0.0047,2019-09-15
0.0229,2019-09-15
0.0103,2019-09-15
0.076,2019-09-15
0.1114,2019-09-15
0.0979,2019-09-15
0.0014,2019-09-15
0.262,2019-09-15
0.0134,2019-09-15
0.1676,2019-09-15
0.4267,2019-09-15
0.0087,2019-09-15
0.0914,2019-09-15
0.1736,2019-09-15
0.0191,2019-09-15
0.0046,2019-09-15
0.0270,2019-09-15
0.0701,2019-09-15
0.0183,2019-09-15
0.0045,2019-09-15
0.0017,2019-09-15
0.2032,2019-09-15
0.0097,2019-09-15
0.4721,2019-09-15
0.1122,2019-09-15
0.0068,2019-09-15
0.0188,2019-09-15
0.0702,2019-09-15
0.0106,2019-09-15
0.1184,2019-09-15
0.0844,2019-09-15
0.0672,2019-09-15
0.0051,2019-09-15
0.0077,2019-09-15
0.0145,2019-09-15
0.0211,2019-09-15
0.0055,2019-09-15
0.0059,2019-09-15
0.0049,2019-09-15
0.0023,2019-09-15
0.0301,2019-09-15
0.002,2019-09-15
0.0067,2019-09-15
0.0199,2019-09-15
0.0183,2019-09-15
0.1467,2019-09-15
0.0118,2019-09-15
0.0143,2019-09-15
0.0015,2019-09-15
0.063,2019-09-15
0.0035,2019-09-15
0.0924,2019-09-15
0.0996,2019-09-15
0.0203,2019-09-15
0.0019,2019-09-15
0.1032,2019-09-15
0.0016,2019-09-15
0.0196,2019-09-15
0.0381,2019-09-15
0.0254,2019-09-15
0.003,2019-09-15
0.0818,2019-09-15
0.0341,2019-09-15
0.0148,2019-09-15
0.0333,2019-09-15
0.0018,2019-09-15
0.1619,2019-09-15
0.0217,2019-09-15
0.0198,2019-09-15
0.0035,2019-09-15
0.0505,2019-09-15
0.0199,2019-09-15
0.0116,2019-09-15
0.4669,2019-09-15
0.0182,2019-09-15
0.2739,2019-09-15
0.0070,2019-09-15
0.3341,2019-09-15
0.0014,2019-09-15
0.0116,2019-09-15
0.0483,2019-09-15
0.051,2019-09-15
