winrate,date
0.4394,2019-09-19
0.5191,2019-09-19
0.4354,2019-09-19
0.4792,2019-09-19
0.5257,2019-09-19
0.5045,2019-09-19
0.4838,2019-09-19
0.5138,2019-09-19
0.5283,2019-09-19
0.4391,2019-09-19
0.5036,2019-09-19
0.5144,2019-09-19
0.5187,2019-09-19
0.4648,2019-09-19
0.5095,2019-09-19
0.4869,2019-09-19
0.5108,2019-09-19
0.494,2019-09-19
0.4537,2019-09-19
0.5059,2019-09-19
0.5132,2019-09-19
0.5316,2019-09-19
0.5084,2019-09-19
0.5184,2019-09-19
0.4956,2019-09-19
0.4759,2019-09-19
0.4613,2019-09-19
0.4826,2019-09-19
0.5063,2019-09-19
0.5279,2019-09-19
0.5108,2019-09-19
0.4759,2019-09-19
0.5277,2019-09-19
0.4806,2019-09-19
0.4759,2019-09-19
0.4988,2019-09-19
0.5125,2019-09-19
0.5025,2019-09-19
0.5214,2019-09-19
0.4482,2019-09-19
0.4871,2019-09-19
0.5117,2019-09-19
0.5105,2019-09-19
0.5032,2019-09-19
0.4692,2019-09-19
0.5198,2019-09-19
0.5224,2019-09-19
0.4810,2019-09-19
0.446,2019-09-19
0.4891,2019-09-19
0.5022,2019-09-19
0.5031,2019-09-19
0.498,2019-09-19
0.5227,2019-09-19
0.5036,2019-09-19
0.515,2019-09-19
0.5097,2019-09-19
0.4893,2019-09-19
0.5241,2019-09-19
0.5065,2019-09-19
0.479,2019-09-19
0.4766,2019-09-19
0.521,2019-09-19
0.4928,2019-09-19
0.4859,2019-09-19
0.4904,2019-09-19
0.506,2019-09-19
0.4971,2019-09-19
0.5192,2019-09-19
0.4883,2019-09-19
0.5036,2019-09-19
0.5138,2019-09-19
0.5085,2019-09-19
0.5051,2019-09-19
0.5197,2019-09-19
0.5129,2019-09-19
0.5207,2019-09-19
0.4948,2019-09-19
0.4640,2019-09-19
0.523,2019-09-19
0.5281,2019-09-19
0.4919,2019-09-19
0.4844,2019-09-19
0.4762,2019-09-19
0.4970,2019-09-19
0.4839,2019-09-19
0.5094,2019-09-19
0.4555,2019-09-19
0.5161,2019-09-19
0.501,2019-09-19
0.5073,2019-09-19
0.4982,2019-09-19
0.4957,2019-09-19
0.4912,2019-09-19
0.4737,2019-09-19
0.5035,2019-09-19
0.4849,2019-09-19
0.4534,2019-09-19
0.5025,2019-09-19
0.4965,2019-09-19
0.4922,2019-09-19
0.5221,2019-09-19
0.505,2019-09-19
0.5126,2019-09-19
0.5054,2019-09-19
0.5216,2019-09-19
0.5157,2019-09-19
0.5186,2019-09-19
0.4629,2019-09-19
0.4933,2019-09-19
0.4445,2019-09-19
0.5026,2019-09-19
0.5016,2019-09-19
0.5287,2019-09-19
0.529,2019-09-19
0.4955,2019-09-19
0.4898,2019-09-19
0.4887,2019-09-19
0.5057,2019-09-19
0.4844,2019-09-19
0.5044,2019-09-19
0.5144,2019-09-19
0.5223,2019-09-19
0.4769,2019-09-19
0.4939,2019-09-19
0.499,2019-09-19
0.5166,2019-09-19
0.5181,2019-09-19
0.4906,2019-09-19
0.4823,2019-09-19
0.5207,2019-09-19
0.5038,2019-09-19
0.5063,2019-09-19
0.4988,2019-09-19
0.5126,2019-09-19
0.504,2019-09-19
0.5066,2019-09-19
0.5162,2019-09-19
0.4387,2019-09-19
0.4971,2019-09-19
0.5037,2019-09-19
0.5153,2019-09-19
0.5112,2019-09-19
0.4818,2019-09-19
0.5208,2019-09-19
