winrate,date
0.4324,2019-09-16
0.516,2019-09-16
0.429,2019-09-16
0.4545,2019-09-16
0.514,2019-09-16
0.5214,2019-09-16
0.4871,2019-09-16
0.5105,2019-09-16
0.5544,2019-09-16
0.441,2019-09-16
0.5124,2019-09-16
0.5102,2019-09-16
0.5146,2019-09-16
0.4494,2019-09-16
0.5128,2019-09-16
0.4838,2019-09-16
0.5185,2019-09-16
0.4944,2019-09-16
0.4652,2019-09-16
0.5096,2019-09-16
0.5145,2019-09-16
0.5154,2019-09-16
0.5134,2019-09-16
0.5241,2019-09-16
0.4995,2019-09-16
0.4797,2019-09-16
0.4686,2019-09-16
0.483,2019-09-16
0.5006,2019-09-16
0.534,2019-09-16
0.5069,2019-09-16
0.4799,2019-09-16
0.5319,2019-09-16
0.4775,2019-09-16
0.4522,2019-09-16
0.515,2019-09-16
0.5108,2019-09-16
0.4956,2019-09-16
0.512,2019-09-16
0.4518,2019-09-16
0.4738,2019-09-16
0.5257,2019-09-16
0.5102,2019-09-16
0.5151,2019-09-16
0.4887,2019-09-16
0.5164,2019-09-16
0.5237,2019-09-16
0.4806,2019-09-16
0.4474,2019-09-16
0.491,2019-09-16
0.4697,2019-09-16
0.505,2019-09-16
0.4988,2019-09-16
0.515,2019-09-16
0.5055,2019-09-16
0.506,2019-09-16
0.5055,2019-09-16
0.4856,2019-09-16
0.5177,2019-09-16
0.5153,2019-09-16
0.4673,2019-09-16
0.4703,2019-09-16
0.5146,2019-09-16
0.4857,2019-09-16
0.4797,2019-09-16
0.4896,2019-09-16
0.5081,2019-09-16
0.5058,2019-09-16
0.5166,2019-09-16
0.504,2019-09-16
0.5124,2019-09-16
0.514,2019-09-16
0.5135,2019-09-16
0.5016,2019-09-16
0.5224,2019-09-16
0.5093,2019-09-16
0.5261,2019-09-16
0.5097,2019-09-16
0.4693,2019-09-16
0.5154,2019-09-16
0.5262,2019-09-16
0.5055,2019-09-16
0.5096,2019-09-16
0.495,2019-09-16
0.4920,2019-09-16
0.4752,2019-09-16
0.5068,2019-09-16
0.4803,2019-09-16
0.5136,2019-09-16
0.4979,2019-09-16
0.5053,2019-09-16
0.4797,2019-09-16
0.4954,2019-09-16
0.479,2019-09-16
0.4642,2019-09-16
0.5146,2019-09-16
0.4738,2019-09-16
0.4658,2019-09-16
0.4961,2019-09-16
0.5106,2019-09-16
0.524,2019-09-16
0.5229,2019-09-16
0.491,2019-09-16
0.4978,2019-09-16
0.4863,2019-09-16
0.5098,2019-09-16
0.5276,2019-09-16
0.5269,2019-09-16
0.4540,2019-09-16
0.4964,2019-09-16
0.46,2019-09-16
0.5512,2019-09-16
0.4982,2019-09-16
0.5330,2019-09-16
0.5176,2019-09-16
0.4871,2019-09-16
0.4969,2019-09-16
0.4889,2019-09-16
0.5076,2019-09-16
0.4989,2019-09-16
0.5165,2019-09-16
0.5112,2019-09-16
0.5135,2019-09-16
0.4582,2019-09-16
0.5031,2019-09-16
0.5048,2019-09-16
0.5103,2019-09-16
0.5328,2019-09-16
0.4851,2019-09-16
0.4849,2019-09-16
0.5417,2019-09-16
0.5092,2019-09-16
0.4720,2019-09-16
0.4943,2019-09-16
0.5047,2019-09-16
0.4825,2019-09-16
0.5083,2019-09-16
0.5328,2019-09-16
0.4476,2019-09-16
0.5139,2019-09-16
0.5003,2019-09-16
0.5216,2019-09-16
0.5249,2019-09-16
0.4752,2019-09-16
0.5203,2019-09-16
