winrate,date
0.4228,2019-09-23
0.507,2019-09-23
0.4424,2019-09-23
0.4705,2019-09-23
0.5245,2019-09-23
0.5106,2019-09-23
0.498,2019-09-23
0.5079,2019-09-23
0.4995,2019-09-23
0.4467,2019-09-23
0.5072,2019-09-23
0.515,2019-09-23
0.5196,2019-09-23
0.4535,2019-09-23
0.5063,2019-09-23
0.4804,2019-09-23
0.5075,2019-09-23
0.4784,2019-09-23
0.4771,2019-09-23
0.5046,2019-09-23
0.5159,2019-09-23
0.5262,2019-09-23
0.5003,2019-09-23
0.5227,2019-09-23
0.4857,2019-09-23
0.4854,2019-09-23
0.4641,2019-09-23
0.4801,2019-09-23
0.4983,2019-09-23
0.5281,2019-09-23
0.5056,2019-09-23
0.4899,2019-09-23
0.5094,2019-09-23
0.4855,2019-09-23
0.4889,2019-09-23
0.508,2019-09-23
0.4982,2019-09-23
0.4923,2019-09-23
0.5265,2019-09-23
0.4538,2019-09-23
0.4666,2019-09-23
0.5176,2019-09-23
0.502,2019-09-23
0.5088,2019-09-23
0.4582,2019-09-23
0.52,2019-09-23
0.528,2019-09-23
0.4764,2019-09-23
0.4779,2019-09-23
0.4877,2019-09-23
0.5018,2019-09-23
0.4905,2019-09-23
0.4993,2019-09-23
0.5144,2019-09-23
0.4946,2019-09-23
0.4928,2019-09-23
0.5019,2019-09-23
0.5017,2019-09-23
0.5161,2019-09-23
0.5169,2019-09-23
0.4729,2019-09-23
0.4829,2019-09-23
0.5162,2019-09-23
0.495,2019-09-23
0.4762,2019-09-23
0.5031,2019-09-23
0.5081,2019-09-23
0.5035,2019-09-23
0.5193,2019-09-23
0.4906,2019-09-23
0.5075,2019-09-23
0.5082,2019-09-23
0.5067,2019-09-23
0.5032,2019-09-23
0.5186,2019-09-23
0.5261,2019-09-23
0.5218,2019-09-23
0.4959,2019-09-23
0.4573,2019-09-23
0.5137,2019-09-23
0.5289,2019-09-23
0.4985,2019-09-23
0.5011,2019-09-23
0.4733,2019-09-23
0.4862,2019-09-23
0.4842,2019-09-23
0.515,2019-09-23
0.4693,2019-09-23
0.5274,2019-09-23
0.4947,2019-09-23
0.5143,2019-09-23
0.4981,2019-09-23
0.4815,2019-09-23
0.4916,2019-09-23
0.4782,2019-09-23
0.5198,2019-09-23
0.4835,2019-09-23
0.4668,2019-09-23
0.5036,2019-09-23
0.5084,2019-09-23
0.5051,2019-09-23
0.5188,2019-09-23
0.5039,2019-09-23
0.5007,2019-09-23
0.4775,2019-09-23
0.5088,2019-09-23
0.5144,2019-09-23
0.5288,2019-09-23
0.4680,2019-09-23
0.5047,2019-09-23
0.4582,2019-09-23
0.4884,2019-09-23
0.4932,2019-09-23
0.5129,2019-09-23
0.5274,2019-09-23
0.4935,2019-09-23
0.4926,2019-09-23
0.5043,2019-09-23
0.507,2019-09-23
0.4867,2019-09-23
0.5152,2019-09-23
0.5065,2019-09-23
0.5248,2019-09-23
0.4838,2019-09-23
0.5031,2019-09-23
0.5035,2019-09-23
0.5185,2019-09-23
0.5099,2019-09-23
0.4761,2019-09-23
0.4951,2019-09-23
0.5401,2019-09-23
0.5168,2019-09-23
0.5042,2019-09-23
0.4935,2019-09-23
0.5272,2019-09-23
0.5111,2019-09-23
0.5048,2019-09-23
0.5329,2019-09-23
0.4528,2019-09-23
0.5146,2019-09-23
0.5018,2019-09-23
0.5032,2019-09-23
0.5187,2019-09-23
0.4719,2019-09-23
0.5063,2019-09-23
