winrate,date
0.4395,2019-09-24
0.5188,2019-09-24
0.4385,2019-09-24
0.4862,2019-09-24
0.5157,2019-09-24
0.4904,2019-09-24
0.4936,2019-09-24
0.5124,2019-09-24
0.4963,2019-09-24
0.4425,2019-09-24
0.5049,2019-09-24
0.5079,2019-09-24
0.5221,2019-09-24
0.4579,2019-09-24
0.5058,2019-09-24
0.4662,2019-09-24
0.5179,2019-09-24
0.4744,2019-09-24
0.4363,2019-09-24
0.5029,2019-09-24
0.5057,2019-09-24
0.5322,2019-09-24
0.4965,2019-09-24
0.5201,2019-09-24
0.4777,2019-09-24
0.4816,2019-09-24
0.4643,2019-09-24
0.4886,2019-09-24
0.4936,2019-09-24
0.5279,2019-09-24
0.5168,2019-09-24
0.4744,2019-09-24
0.5157,2019-09-24
0.4781,2019-09-24
0.462,2019-09-24
0.5109,2019-09-24
0.4948,2019-09-24
0.5131,2019-09-24
0.5245,2019-09-24
0.4499,2019-09-24
0.4972,2019-09-24
0.5235,2019-09-24
0.5102,2019-09-24
0.5043,2019-09-24
0.4760,2019-09-24
0.5244,2019-09-24
0.5242,2019-09-24
0.4832,2019-09-24
0.4632,2019-09-24
0.4928,2019-09-24
0.5161,2019-09-24
0.4978,2019-09-24
0.5055,2019-09-24
0.5208,2019-09-24
0.5011,2019-09-24
0.4963,2019-09-24
0.506,2019-09-24
0.4753,2019-09-24
0.5178,2019-09-24
0.4959,2019-09-24
0.4673,2019-09-24
0.4836,2019-09-24
0.51,2019-09-24
0.4677,2019-09-24
0.4896,2019-09-24
0.4923,2019-09-24
0.5036,2019-09-24
0.5021,2019-09-24
0.5156,2019-09-24
0.4996,2019-09-24
0.5172,2019-09-24
0.5193,2019-09-24
0.5176,2019-09-24
0.5048,2019-09-24
0.5294,2019-09-24
0.5046,2019-09-24
0.5182,2019-09-24
0.4993,2019-09-24
0.4681,2019-09-24
0.5188,2019-09-24
0.5321,2019-09-24
0.4999,2019-09-24
0.4825,2019-09-24
0.4881,2019-09-24
0.4929,2019-09-24
0.4779,2019-09-24
0.5084,2019-09-24
0.4514,2019-09-24
0.509,2019-09-24
0.4943,2019-09-24
0.5102,2019-09-24
0.4985,2019-09-24
0.4915,2019-09-24
0.4841,2019-09-24
0.4862,2019-09-24
0.4981,2019-09-24
0.478,2019-09-24
0.452,2019-09-24
0.5177,2019-09-24
0.5067,2019-09-24
0.5014,2019-09-24
0.5311,2019-09-24
0.5177,2019-09-24
0.5008,2019-09-24
0.4658,2019-09-24
0.5146,2019-09-24
0.5168,2019-09-24
0.5197,2019-09-24
0.4696,2019-09-24
0.4925,2019-09-24
0.4489,2019-09-24
0.5042,2019-09-24
0.5087,2019-09-24
0.536,2019-09-24
0.519,2019-09-24
0.4920,2019-09-24
0.4986,2019-09-24
0.4834,2019-09-24
0.5058,2019-09-24
0.4926,2019-09-24
0.5043,2019-09-24
0.5122,2019-09-24
0.5298,2019-09-24
0.4651,2019-09-24
0.4928,2019-09-24
0.5074,2019-09-24
0.5221,2019-09-24
0.5213,2019-09-24
0.4926,2019-09-24
0.4845,2019-09-24
0.5289,2019-09-24
0.5006,2019-09-24
0.5009,2019-09-24
0.4871,2019-09-24
0.5059,2019-09-24
0.4981,2019-09-24
0.5038,2019-09-24
0.532,2019-09-24
0.4465,2019-09-24
0.5235,2019-09-24
0.5035,2019-09-24
0.5092,2019-09-24
0.5191,2019-09-24
0.4746,2019-09-24
0.5233,2019-09-24
