winrate,date
0.4337,2019-09-18
0.5232,2019-09-18
0.4403,2019-09-18
0.4853,2019-09-18
0.5288,2019-09-18
0.5122,2019-09-18
0.4887,2019-09-18
0.5096,2019-09-18
0.5441,2019-09-18
0.4401,2019-09-18
0.5073,2019-09-18
0.5186,2019-09-18
0.5221,2019-09-18
0.4598,2019-09-18
0.5081,2019-09-18
0.4888,2019-09-18
0.5121,2019-09-18
0.5008,2019-09-18
0.4454,2019-09-18
0.5016,2019-09-18
0.5225,2019-09-18
0.532,2019-09-18
0.5085,2019-09-18
0.5173,2019-09-18
0.4939,2019-09-18
0.4779,2019-09-18
0.4626,2019-09-18
0.4760,2019-09-18
0.5029,2019-09-18
0.5198,2019-09-18
0.5097,2019-09-18
0.4821,2019-09-18
0.532,2019-09-18
0.4763,2019-09-18
0.4814,2019-09-18
0.5023,2019-09-18
0.5117,2019-09-18
0.4937,2019-09-18
0.5197,2019-09-18
0.4384,2019-09-18
0.4875,2019-09-18
0.5131,2019-09-18
0.5043,2019-09-18
0.5028,2019-09-18
0.4595,2019-09-18
0.5245,2019-09-18
0.5226,2019-09-18
0.4808,2019-09-18
0.4203,2019-09-18
0.4938,2019-09-18
0.5075,2019-09-18
0.5049,2019-09-18
0.5041,2019-09-18
0.5248,2019-09-18
0.5023,2019-09-18
0.5181,2019-09-18
0.5084,2019-09-18
0.4794,2019-09-18
0.5153,2019-09-18
0.5,2019-09-18
0.4806,2019-09-18
0.4747,2019-09-18
0.5203,2019-09-18
0.4924,2019-09-18
0.4870,2019-09-18
0.4934,2019-09-18
0.5067,2019-09-18
0.5021,2019-09-18
0.5238,2019-09-18
0.4835,2019-09-18
0.5024,2019-09-18
0.5159,2019-09-18
0.5098,2019-09-18
0.5029,2019-09-18
0.5249,2019-09-18
0.5179,2019-09-18
0.5146,2019-09-18
0.4871,2019-09-18
0.4665,2019-09-18
0.516,2019-09-18
0.5351,2019-09-18
0.4935,2019-09-18
0.4922,2019-09-18
0.465,2019-09-18
0.4941,2019-09-18
0.4761,2019-09-18
0.5129,2019-09-18
0.4623,2019-09-18
0.5132,2019-09-18
0.5014,2019-09-18
0.5196,2019-09-18
0.4918,2019-09-18
0.4915,2019-09-18
0.4977,2019-09-18
0.4738,2019-09-18
0.5069,2019-09-18
0.4833,2019-09-18
0.4479,2019-09-18
0.5002,2019-09-18
0.4954,2019-09-18
0.495,2019-09-18
0.5323,2019-09-18
0.51,2019-09-18
0.5114,2019-09-18
0.5312,2019-09-18
0.5149,2019-09-18
0.5188,2019-09-18
0.5141,2019-09-18
0.4638,2019-09-18
0.4925,2019-09-18
0.4469,2019-09-18
0.5004,2019-09-18
0.5013,2019-09-18
0.5266,2019-09-18
0.5309,2019-09-18
0.4915,2019-09-18
0.4872,2019-09-18
0.4896,2019-09-18
0.4995,2019-09-18
0.4879,2019-09-18
0.5062,2019-09-18
0.5167,2019-09-18
0.5257,2019-09-18
0.4714,2019-09-18
0.4968,2019-09-18
0.4938,2019-09-18
0.5166,2019-09-18
0.5125,2019-09-18
0.4929,2019-09-18
0.4807,2019-09-18
0.5221,2019-09-18
0.5072,2019-09-18
0.5156,2019-09-18
0.5002,2019-09-18
0.5072,2019-09-18
0.502,2019-09-18
0.5035,2019-09-18
0.5196,2019-09-18
0.4452,2019-09-18
0.4964,2019-09-18
0.5032,2019-09-18
0.5163,2019-09-18
0.4988,2019-09-18
0.484,2019-09-18
0.5236,2019-09-18
