winrate,date
0.4365,2019-09-20
0.5097,2019-09-20
0.444,2019-09-20
0.491,2019-09-20
0.5212,2019-09-20
0.514,2019-09-20
0.4891,2019-09-20
0.5099,2019-09-20
0.5114,2019-09-20
0.4586,2019-09-20
0.4954,2019-09-20
0.5151,2019-09-20
0.5275,2019-09-20
0.4692,2019-09-20
0.5082,2019-09-20
0.502,2019-09-20
0.5188,2019-09-20
0.4799,2019-09-20
0.4673,2019-09-20
0.516,2019-09-20
0.5114,2019-09-20
0.5261,2019-09-20
0.5119,2019-09-20
0.5216,2019-09-20
0.4913,2019-09-20
0.4816,2019-09-20
0.4593,2019-09-20
0.4891,2019-09-20
0.4952,2019-09-20
0.5277,2019-09-20
0.4996,2019-09-20
0.4905,2019-09-20
0.5217,2019-09-20
0.4634,2019-09-20
0.4782,2019-09-20
0.5065,2019-09-20
0.5045,2019-09-20
0.498,2019-09-20
0.5079,2019-09-20
0.4444,2019-09-20
0.4898,2019-09-20
0.5072,2019-09-20
0.5212,2019-09-20
0.5112,2019-09-20
0.4763,2019-09-20
0.5165,2019-09-20
0.528,2019-09-20
0.4786,2019-09-20
0.4569,2019-09-20
0.5035,2019-09-20
0.4932,2019-09-20
0.5126,2019-09-20
0.4942,2019-09-20
0.5192,2019-09-20
0.4993,2019-09-20
0.5045,2019-09-20
0.5028,2019-09-20
0.498,2019-09-20
0.5118,2019-09-20
0.502,2019-09-20
0.4713,2019-09-20
0.4744,2019-09-20
0.5145,2019-09-20
0.4607,2019-09-20
0.493,2019-09-20
0.4835,2019-09-20
0.502,2019-09-20
0.5132,2019-09-20
0.5311,2019-09-20
0.5003,2019-09-20
0.5168,2019-09-20
0.5193,2019-09-20
0.5034,2019-09-20
0.5132,2019-09-20
0.522,2019-09-20
0.51,2019-09-20
0.5281,2019-09-20
0.5007,2019-09-20
0.4695,2019-09-20
0.518,2019-09-20
0.5243,2019-09-20
0.5065,2019-09-20
0.4952,2019-09-20
0.489,2019-09-20
0.5024,2019-09-20
0.4811,2019-09-20
0.5034,2019-09-20
0.4589,2019-09-20
0.5142,2019-09-20
0.4955,2019-09-20
0.4918,2019-09-20
0.489,2019-09-20
0.4939,2019-09-20
0.4942,2019-09-20
0.4710,2019-09-20
0.5171,2019-09-20
0.49,2019-09-20
0.4748,2019-09-20
0.5001,2019-09-20
0.5046,2019-09-20
0.5065,2019-09-20
0.5141,2019-09-20
0.5129,2019-09-20
0.4931,2019-09-20
0.4943,2019-09-20
0.5122,2019-09-20
0.5296,2019-09-20
0.5153,2019-09-20
0.4628,2019-09-20
0.4917,2019-09-20
0.465,2019-09-20
0.4986,2019-09-20
0.5008,2019-09-20
0.5456,2019-09-20
0.5157,2019-09-20
0.4810,2019-09-20
0.49,2019-09-20
0.4945,2019-09-20
0.5059,2019-09-20
0.5,2019-09-20
0.5159,2019-09-20
0.5129,2019-09-20
0.4937,2019-09-20
0.4749,2019-09-20
0.4975,2019-09-20
0.504,2019-09-20
0.5133,2019-09-20
0.5078,2019-09-20
0.4759,2019-09-20
0.4793,2019-09-20
0.5355,2019-09-20
0.4979,2019-09-20
0.5113,2019-09-20
0.4841,2019-09-20
0.5084,2019-09-20
0.4957,2019-09-20
0.5096,2019-09-20
0.5295,2019-09-20
0.4471,2019-09-20
0.5172,2019-09-20
0.4978,2019-09-20
0.4938,2019-09-20
0.5264,2019-09-20
0.4683,2019-09-20
0.5255,2019-09-20
