winrate,date
0.4298,2019-09-12
0.5197,2019-09-12
0.4388,2019-09-12
0.474,2019-09-12
0.5148,2019-09-12
0.5202,2019-09-12
0.4892,2019-09-12
0.5127,2019-09-12
0.4782,2019-09-12
0.4309,2019-09-12
0.5005,2019-09-12
0.5242,2019-09-12
0.5206,2019-09-12
0.4619,2019-09-12
0.5077,2019-09-12
0.4941,2019-09-12
0.5145,2019-09-12
0.5117,2019-09-12
0.4768,2019-09-12
0.5082,2019-09-12
0.5079,2019-09-12
0.5244,2019-09-12
0.4986,2019-09-12
0.516,2019-09-12
0.4835,2019-09-12
0.4771,2019-09-12
0.4627,2019-09-12
0.4888,2019-09-12
0.5058,2019-09-12
0.5231,2019-09-12
0.5074,2019-09-12
0.4768,2019-09-12
0.5201,2019-09-12
0.4868,2019-09-12
0.4696,2019-09-12
0.5086,2019-09-12
0.5122,2019-09-12
0.5347,2019-09-12
0.5119,2019-09-12
0.4404,2019-09-12
0.5102,2019-09-12
0.5219,2019-09-12
0.5091,2019-09-12
0.5188,2019-09-12
0.4743,2019-09-12
0.5271,2019-09-12
0.5301,2019-09-12
0.4782,2019-09-12
0.4787,2019-09-12
0.4847,2019-09-12
0.5005,2019-09-12
0.4979,2019-09-12
0.5001,2019-09-12
0.5106,2019-09-12
0.5018,2019-09-12
0.5186,2019-09-12
0.5013,2019-09-12
0.4994,2019-09-12
0.5237,2019-09-12
0.4972,2019-09-12
0.4831,2019-09-12
0.4797,2019-09-12
0.5193,2019-09-12
0.4637,2019-09-12
0.4821,2019-09-12
0.4939,2019-09-12
0.5046,2019-09-12
0.5039,2019-09-12
0.5183,2019-09-12
0.5141,2019-09-12
0.5147,2019-09-12
0.5121,2019-09-12
0.5058,2019-09-12
0.5081,2019-09-12
0.5225,2019-09-12
0.5049,2019-09-12
0.5121,2019-09-12
0.488,2019-09-12
0.4857,2019-09-12
0.5072,2019-09-12
0.5173,2019-09-12
0.5108,2019-09-12
0.4885,2019-09-12
0.4833,2019-09-12
0.4915,2019-09-12
0.4914,2019-09-12
0.5037,2019-09-12
0.4488,2019-09-12
0.5023,2019-09-12
0.4993,2019-09-12
0.4941,2019-09-12
0.4923,2019-09-12
0.4881,2019-09-12
0.5012,2019-09-12
0.4729,2019-09-12
0.5046,2019-09-12
0.4857,2019-09-12
0.4712,2019-09-12
0.5108,2019-09-12
0.5033,2019-09-12
0.5,2019-09-12
0.5144,2019-09-12
0.5111,2019-09-12
0.4966,2019-09-12
0.5111,2019-09-12
0.519,2019-09-12
0.5284,2019-09-12
0.5323,2019-09-12
0.4625,2019-09-12
0.4832,2019-09-12
0.4598,2019-09-12
0.509,2019-09-12
0.5017,2019-09-12
0.5465,2019-09-12
0.5194,2019-09-12
0.4946,2019-09-12
0.5019,2019-09-12
0.5184,2019-09-12
0.5095,2019-09-12
0.484,2019-09-12
0.5041,2019-09-12
0.5207,2019-09-12
0.5115,2019-09-12
0.4816,2019-09-12
0.5001,2019-09-12
0.5051,2019-09-12
0.511,2019-09-12
0.5151,2019-09-12
0.5218,2019-09-12
0.4893,2019-09-12
0.5224,2019-09-12
0.5195,2019-09-12
0.4945,2019-09-12
0.4921,2019-09-12
0.5007,2019-09-12
0.4975,2019-09-12
0.5146,2019-09-12
0.5255,2019-09-12
0.4541,2019-09-12
0.5148,2019-09-12
0.5071,2019-09-12
0.5015,2019-09-12
0.5045,2019-09-12
0.4811,2019-09-12
0.5192,2019-09-12
