winrate,date
0.429,2019-09-13
0.517,2019-09-13
0.4391,2019-09-13
0.4724,2019-09-13
0.5075,2019-09-13
0.5027,2019-09-13
0.4773,2019-09-13
0.5047,2019-09-13
0.4829,2019-09-13
0.4325,2019-09-13
0.5115,2019-09-13
0.5097,2019-09-13
0.5248,2019-09-13
0.469,2019-09-13
0.5087,2019-09-13
0.4927,2019-09-13
0.5197,2019-09-13
0.496,2019-09-13
0.4827,2019-09-13
0.5192,2019-09-13
0.5191,2019-09-13
0.5342,2019-09-13
0.5107,2019-09-13
0.5263,2019-09-13
0.4749,2019-09-13
0.4791,2019-09-13
0.4590,2019-09-13
0.4922,2019-09-13
0.5102,2019-09-13
0.5277,2019-09-13
0.5189,2019-09-13
0.4665,2019-09-13
0.5145,2019-09-13
0.4891,2019-09-13
0.4702,2019-09-13
0.5011,2019-09-13
0.5107,2019-09-13
0.5239,2019-09-13
0.4970,2019-09-13
0.4423,2019-09-13
0.5021,2019-09-13
0.5186,2019-09-13
0.5092,2019-09-13
0.5145,2019-09-13
0.4574,2019-09-13
0.5262,2019-09-13
0.5289,2019-09-13
0.4776,2019-09-13
0.447,2019-09-13
0.4902,2019-09-13
0.4916,2019-09-13
0.5063,2019-09-13
0.4957,2019-09-13
0.5128,2019-09-13
0.509,2019-09-13
0.5024,2019-09-13
0.5017,2019-09-13
0.4970,2019-09-13
0.5139,2019-09-13
0.5077,2019-09-13
0.4709,2019-09-13
0.4841,2019-09-13
0.5176,2019-09-13
0.473,2019-09-13
0.4874,2019-09-13
0.4901,2019-09-13
0.4973,2019-09-13
0.5044,2019-09-13
0.5237,2019-09-13
0.4896,2019-09-13
0.5067,2019-09-13
0.5159,2019-09-13
0.5113,2019-09-13
0.5068,2019-09-13
0.5276,2019-09-13
0.5111,2019-09-13
0.5202,2019-09-13
0.4948,2019-09-13
0.4853,2019-09-13
0.508,2019-09-13
0.5233,2019-09-13
0.5049,2019-09-13
0.4955,2019-09-13
0.485,2019-09-13
0.4932,2019-09-13
0.4908,2019-09-13
0.5069,2019-09-13
0.4632,2019-09-13
0.4961,2019-09-13
0.4954,2019-09-13
0.4989,2019-09-13
0.4935,2019-09-13
0.4977,2019-09-13
0.5119,2019-09-13
0.483,2019-09-13
0.5156,2019-09-13
0.4776,2019-09-13
0.4629,2019-09-13
0.5097,2019-09-13
0.5004,2019-09-13
0.5002,2019-09-13
0.5156,2019-09-13
0.5101,2019-09-13
0.5153,2019-09-13
0.5024,2019-09-13
0.5152,2019-09-13
0.5353,2019-09-13
0.5405,2019-09-13
0.4625,2019-09-13
0.4872,2019-09-13
0.4447,2019-09-13
0.4974,2019-09-13
0.51,2019-09-13
0.544,2019-09-13
0.5093,2019-09-13
0.4874,2019-09-13
0.4951,2019-09-13
0.5036,2019-09-13
0.507,2019-09-13
0.4853,2019-09-13
0.506,2019-09-13
0.5172,2019-09-13
0.507,2019-09-13
0.4793,2019-09-13
0.5065,2019-09-13
0.5014,2019-09-13
0.5235,2019-09-13
0.5212,2019-09-13
0.5212,2019-09-13
0.4899,2019-09-13
0.5279,2019-09-13
0.5101,2019-09-13
0.508,2019-09-13
0.4865,2019-09-13
0.4898,2019-09-13
0.4812,2019-09-13
0.5096,2019-09-13
0.5303,2019-09-13
0.4562,2019-09-13
0.5145,2019-09-13
0.5098,2019-09-13
0.5176,2019-09-13
0.5146,2019-09-13
0.4807,2019-09-13
0.5163,2019-09-13
