winrate,date
0.4264,2019-09-17
0.5152,2019-09-17
0.4335,2019-09-17
0.4594,2019-09-17
0.5193,2019-09-17
0.5216,2019-09-17
0.4908,2019-09-17
0.5126,2019-09-17
0.5347,2019-09-17
0.4393,2019-09-17
0.5109,2019-09-17
0.5123,2019-09-17
0.5156,2019-09-17
0.4522,2019-09-17
0.509,2019-09-17
0.4856,2019-09-17
0.5076,2019-09-17
0.4956,2019-09-17
0.4597,2019-09-17
0.5078,2019-09-17
0.5171,2019-09-17
0.5163,2019-09-17
0.5083,2019-09-17
0.5237,2019-09-17
0.4999,2019-09-17
0.4771,2019-09-17
0.4676,2019-09-17
0.4864,2019-09-17
0.501,2019-09-17
0.5317,2019-09-17
0.512,2019-09-17
0.4766,2019-09-17
0.5301,2019-09-17
0.4804,2019-09-17
0.4626,2019-09-17
0.5153,2019-09-17
0.5154,2019-09-17
0.4982,2019-09-17
0.5209,2019-09-17
0.4536,2019-09-17
0.4737,2019-09-17
0.5246,2019-09-17
0.5057,2019-09-17
0.5171,2019-09-17
0.4778,2019-09-17
0.5188,2019-09-17
0.5258,2019-09-17
0.479,2019-09-17
0.4504,2019-09-17
0.496,2019-09-17
0.4798,2019-09-17
0.5075,2019-09-17
0.5027,2019-09-17
0.5132,2019-09-17
0.5083,2019-09-17
0.5048,2019-09-17
0.5083,2019-09-17
0.4811,2019-09-17
0.5141,2019-09-17
0.5122,2019-09-17
0.4716,2019-09-17
0.4731,2019-09-17
0.515,2019-09-17
0.4744,2019-09-17
0.4829,2019-09-17
0.4938,2019-09-17
0.5053,2019-09-17
0.5027,2019-09-17
0.5187,2019-09-17
0.5048,2019-09-17
0.5124,2019-09-17
0.5142,2019-09-17
0.5124,2019-09-17
0.5057,2019-09-17
0.5201,2019-09-17
0.5101,2019-09-17
0.5247,2019-09-17
0.5049,2019-09-17
0.47,2019-09-17
0.518,2019-09-17
0.5326,2019-09-17
0.5013,2019-09-17
0.4912,2019-09-17
0.4848,2019-09-17
0.4936,2019-09-17
0.4810,2019-09-17
0.5081,2019-09-17
0.4706,2019-09-17
0.5081,2019-09-17
0.4971,2019-09-17
0.5006,2019-09-17
0.4832,2019-09-17
0.4970,2019-09-17
0.4923,2019-09-17
0.4668,2019-09-17
0.5177,2019-09-17
0.4775,2019-09-17
0.4585,2019-09-17
0.4911,2019-09-17
0.5087,2019-09-17
0.5105,2019-09-17
0.522,2019-09-17
0.4953,2019-09-17
0.4882,2019-09-17
0.4804,2019-09-17
0.5091,2019-09-17
0.5271,2019-09-17
0.526,2019-09-17
0.456,2019-09-17
0.4939,2019-09-17
0.4663,2019-09-17
0.5233,2019-09-17
0.4975,2019-09-17
0.519,2019-09-17
0.5178,2019-09-17
0.4909,2019-09-17
0.4936,2019-09-17
0.4905,2019-09-17
0.5067,2019-09-17
0.4949,2019-09-17
0.5087,2019-09-17
0.5146,2019-09-17
0.5168,2019-09-17
0.4688,2019-09-17
0.5009,2019-09-17
0.4997,2019-09-17
0.5144,2019-09-17
0.5279,2019-09-17
0.4907,2019-09-17
0.4907,2019-09-17
0.5323,2019-09-17
0.503,2019-09-17
0.4858,2019-09-17
0.4939,2019-09-17
0.5062,2019-09-17
0.4753,2019-09-17
0.5072,2019-09-17
0.5299,2019-09-17
0.4451,2019-09-17
0.5136,2019-09-17
0.5026,2019-09-17
0.5135,2019-09-17
0.5238,2019-09-17
0.4762,2019-09-17
0.5194,2019-09-17
