winrate,date
0.4602,2019-09-11
0.5212,2019-09-11
0.4591,2019-09-11
0.4926,2019-09-11
0.5282,2019-09-11
0.5031,2019-09-11
0.4964,2019-09-11
0.5079,2019-09-11
0.4851,2019-09-11
0.455,2019-09-11
0.5062,2019-09-11
0.5182,2019-09-11
0.5264,2019-09-11
0.4623,2019-09-11
0.5006,2019-09-11
0.4981,2019-09-11
0.5082,2019-09-11
0.5008,2019-09-11
0.4774,2019-09-11
0.5124,2019-09-11
0.5049,2019-09-11
0.532,2019-09-11
0.4979,2019-09-11
0.5195,2019-09-11
0.4883,2019-09-11
0.4806,2019-09-11
0.4688,2019-09-11
0.4843,2019-09-11
0.5051,2019-09-11
0.519,2019-09-11
0.4953,2019-09-11
0.4966,2019-09-11
0.5195,2019-09-11
0.4809,2019-09-11
0.4734,2019-09-11
0.51,2019-09-11
0.5158,2019-09-11
0.5228,2019-09-11
0.5204,2019-09-11
0.447,2019-09-11
0.4791,2019-09-11
0.5188,2019-09-11
0.5042,2019-09-11
0.5111,2019-09-11
0.4833,2019-09-11
0.5229,2019-09-11
0.5296,2019-09-11
0.4810,2019-09-11
0.4615,2019-09-11
0.4814,2019-09-11
0.4916,2019-09-11
0.494,2019-09-11
0.5105,2019-09-11
0.5121,2019-09-11
0.4983,2019-09-11
0.509,2019-09-11
0.5004,2019-09-11
0.4923,2019-09-11
0.5173,2019-09-11
0.5049,2019-09-11
0.4796,2019-09-11
0.4722,2019-09-11
0.5225,2019-09-11
0.4839,2019-09-11
0.4811,2019-09-11
0.4938,2019-09-11
0.5009,2019-09-11
0.5081,2019-09-11
0.523,2019-09-11
0.5182,2019-09-11
0.5159,2019-09-11
0.5074,2019-09-11
0.5103,2019-09-11
0.5063,2019-09-11
0.5219,2019-09-11
0.504,2019-09-11
0.5207,2019-09-11
0.5086,2019-09-11
0.4825,2019-09-11
0.5155,2019-09-11
0.5383,2019-09-11
0.4806,2019-09-11
0.4845,2019-09-11
0.4876,2019-09-11
0.4924,2019-09-11
0.4836,2019-09-11
0.503,2019-09-11
0.4493,2019-09-11
0.4931,2019-09-11
0.5006,2019-09-11
0.4935,2019-09-11
0.5155,2019-09-11
0.49,2019-09-11
0.4947,2019-09-11
0.4834,2019-09-11
0.509,2019-09-11
0.4847,2019-09-11
0.4726,2019-09-11
0.5012,2019-09-11
0.5005,2019-09-11
0.5003,2019-09-11
0.5191,2019-09-11
0.4863,2019-09-11
0.5014,2019-09-11
0.4901,2019-09-11
0.5187,2019-09-11
0.5146,2019-09-11
0.5203,2019-09-11
0.456,2019-09-11
0.4873,2019-09-11
0.4624,2019-09-11
0.4904,2019-09-11
0.4995,2019-09-11
0.5097,2019-09-11
0.5176,2019-09-11
0.4979,2019-09-11
0.49,2019-09-11
0.5107,2019-09-11
0.5083,2019-09-11
0.4902,2019-09-11
0.511,2019-09-11
0.517,2019-09-11
0.5269,2019-09-11
0.4817,2019-09-11
0.4988,2019-09-11
0.4934,2019-09-11
0.5127,2019-09-11
0.5233,2019-09-11
0.5017,2019-09-11
0.4839,2019-09-11
0.522,2019-09-11
0.5131,2019-09-11
0.4962,2019-09-11
0.5029,2019-09-11
0.5075,2019-09-11
0.4912,2019-09-11
0.5125,2019-09-11
0.5275,2019-09-11
0.4465,2019-09-11
0.5097,2019-09-11
0.4952,2019-09-11
0.514,2019-09-11
0.5273,2019-09-11
0.4805,2019-09-11
0.5175,2019-09-11
