winrate,date
0.4281,2019-09-22
0.5135,2019-09-22
0.4401,2019-09-22
0.4751,2019-09-22
0.5244,2019-09-22
0.5055,2019-09-22
0.4858,2019-09-22
0.5099,2019-09-22
0.5034,2019-09-22
0.4396,2019-09-22
0.5072,2019-09-22
0.5146,2019-09-22
0.5109,2019-09-22
0.4720,2019-09-22
0.5062,2019-09-22
0.488,2019-09-22
0.5175,2019-09-22
0.4894,2019-09-22
0.4587,2019-09-22
0.5051,2019-09-22
0.5161,2019-09-22
0.5206,2019-09-22
0.5005,2019-09-22
0.5272,2019-09-22
0.4876,2019-09-22
0.4871,2019-09-22
0.4653,2019-09-22
0.4922,2019-09-22
0.4870,2019-09-22
0.5318,2019-09-22
0.5035,2019-09-22
0.4805,2019-09-22
0.5164,2019-09-22
0.4742,2019-09-22
0.4725,2019-09-22
0.5126,2019-09-22
0.508,2019-09-22
0.4947,2019-09-22
0.5097,2019-09-22
0.4627,2019-09-22
0.5055,2019-09-22
0.5145,2019-09-22
0.4996,2019-09-22
0.5072,2019-09-22
0.4613,2019-09-22
0.5268,2019-09-22
0.529,2019-09-22
0.4778,2019-09-22
0.4617,2019-09-22
0.4928,2019-09-22
0.5009,2019-09-22
0.5013,2019-09-22
0.508,2019-09-22
0.5181,2019-09-22
0.4968,2019-09-22
0.495,2019-09-22
0.5091,2019-09-22
0.4777,2019-09-22
0.5179,2019-09-22
0.5017,2019-09-22
0.4647,2019-09-22
0.4783,2019-09-22
0.5181,2019-09-22
0.486,2019-09-22
0.4805,2019-09-22
0.4936,2019-09-22
0.5043,2019-09-22
0.4993,2019-09-22
0.5206,2019-09-22
0.4944,2019-09-22
0.5103,2019-09-22
0.5086,2019-09-22
0.505,2019-09-22
0.502,2019-09-22
0.5207,2019-09-22
0.5151,2019-09-22
0.5197,2019-09-22
0.4991,2019-09-22
0.4518,2019-09-22
0.524,2019-09-22
0.5154,2019-09-22
0.4967,2019-09-22
0.498,2019-09-22
0.4897,2019-09-22
0.4924,2019-09-22
0.4708,2019-09-22
0.5138,2019-09-22
0.452,2019-09-22
0.4994,2019-09-22
0.4995,2019-09-22
0.5164,2019-09-22
0.5089,2019-09-22
0.4913,2019-09-22
0.5004,2019-09-22
0.4757,2019-09-22
0.5082,2019-09-22
0.4856,2019-09-22
0.4606,2019-09-22
0.5047,2019-09-22
0.5075,2019-09-22
0.4968,2019-09-22
0.5316,2019-09-22
0.5008,2019-09-22
0.4982,2019-09-22
0.5188,2019-09-22
0.5164,2019-09-22
0.5199,2019-09-22
0.5203,2019-09-22
0.4629,2019-09-22
0.5055,2019-09-22
0.4386,2019-09-22
0.5121,2019-09-22
0.4978,2019-09-22
0.5193,2019-09-22
0.5248,2019-09-22
0.4919,2019-09-22
0.4937,2019-09-22
0.5021,2019-09-22
0.5107,2019-09-22
0.4909,2019-09-22
0.511,2019-09-22
0.5111,2019-09-22
0.528,2019-09-22
0.4756,2019-09-22
0.4992,2019-09-22
0.4985,2019-09-22
0.5233,2019-09-22
0.5343,2019-09-22
0.4779,2019-09-22
0.4979,2019-09-22
0.5333,2019-09-22
0.498,2019-09-22
0.5102,2019-09-22
0.4944,2019-09-22
0.5204,2019-09-22
0.488,2019-09-22
0.5098,2019-09-22
0.5142,2019-09-22
0.4519,2019-09-22
0.5151,2019-09-22
0.5036,2019-09-22
0.4948,2019-09-22
0.5063,2019-09-22
0.469,2019-09-22
0.5207,2019-09-22
