winrate,date
0.4229,2019-09-21
0.5105,2019-09-21
0.4413,2019-09-21
0.4909,2019-09-21
0.5095,2019-09-21
0.506,2019-09-21
0.4897,2019-09-21
0.5122,2019-09-21
0.5353,2019-09-21
0.4381,2019-09-21
0.494,2019-09-21
0.52,2019-09-21
0.5234,2019-09-21
0.4493,2019-09-21
0.5064,2019-09-21
0.4982,2019-09-21
0.5193,2019-09-21
0.4864,2019-09-21
0.4633,2019-09-21
0.5073,2019-09-21
0.5079,2019-09-21
0.5242,2019-09-21
0.5036,2019-09-21
0.5258,2019-09-21
0.4843,2019-09-21
0.4834,2019-09-21
0.4653,2019-09-21
0.5028,2019-09-21
0.4959,2019-09-21
0.5232,2019-09-21
0.5111,2019-09-21
0.4864,2019-09-21
0.5254,2019-09-21
0.4678,2019-09-21
0.4691,2019-09-21
0.4974,2019-09-21
0.5113,2019-09-21
0.5017,2019-09-21
0.5041,2019-09-21
0.4602,2019-09-21
0.5011,2019-09-21
0.5127,2019-09-21
0.511,2019-09-21
0.5097,2019-09-21
0.4571,2019-09-21
0.5242,2019-09-21
0.5311,2019-09-21
0.4760,2019-09-21
0.4782,2019-09-21
0.4899,2019-09-21
0.5006,2019-09-21
0.4889,2019-09-21
0.4908,2019-09-21
0.5108,2019-09-21
0.4951,2019-09-21
0.5059,2019-09-21
0.504,2019-09-21
0.4804,2019-09-21
0.5189,2019-09-21
0.4957,2019-09-21
0.4733,2019-09-21
0.4824,2019-09-21
0.5165,2019-09-21
0.4727,2019-09-21
0.4825,2019-09-21
0.4852,2019-09-21
0.5072,2019-09-21
0.5053,2019-09-21
0.5121,2019-09-21
0.4952,2019-09-21
0.5101,2019-09-21
0.5087,2019-09-21
0.5094,2019-09-21
0.5046,2019-09-21
0.5213,2019-09-21
0.5133,2019-09-21
0.5194,2019-09-21
0.4932,2019-09-21
0.4822,2019-09-21
0.5115,2019-09-21
0.5231,2019-09-21
0.5038,2019-09-21
0.5049,2019-09-21
0.4643,2019-09-21
0.5005,2019-09-21
0.4833,2019-09-21
0.5041,2019-09-21
0.4564,2019-09-21
0.5064,2019-09-21
0.5028,2019-09-21
0.4997,2019-09-21
0.489,2019-09-21
0.4916,2019-09-21
0.4922,2019-09-21
0.4821,2019-09-21
0.5095,2019-09-21
0.474,2019-09-21
0.4649,2019-09-21
0.5063,2019-09-21
0.498,2019-09-21
0.5219,2019-09-21
0.5095,2019-09-21
0.5035,2019-09-21
0.5064,2019-09-21
0.4721,2019-09-21
0.516,2019-09-21
0.5203,2019-09-21
0.5186,2019-09-21
0.4694,2019-09-21
0.5059,2019-09-21
0.4541,2019-09-21
0.5014,2019-09-21
0.4969,2019-09-21
0.5379,2019-09-21
0.5208,2019-09-21
0.4895,2019-09-21
0.4970,2019-09-21
0.4929,2019-09-21
0.5148,2019-09-21
0.4949,2019-09-21
0.5057,2019-09-21
0.5116,2019-09-21
0.5254,2019-09-21
0.4678,2019-09-21
0.4911,2019-09-21
0.502,2019-09-21
0.5255,2019-09-21
0.5211,2019-09-21
0.4861,2019-09-21
0.4941,2019-09-21
0.5277,2019-09-21
0.4942,2019-09-21
0.5046,2019-09-21
0.4949,2019-09-21
0.5177,2019-09-21
0.4983,2019-09-21
0.5078,2019-09-21
0.5355,2019-09-21
0.4545,2019-09-21
0.5015,2019-09-21
0.5058,2019-09-21
0.4954,2019-09-21
0.5281,2019-09-21
0.4632,2019-09-21
0.5305,2019-09-21
